fiscal_year,age_group,category,gender,value
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Female,8338
2020-21,Total,Number of members that ceased subscribing during the year,Transgender,141
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Transgender,33
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,31
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,27
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,37
2020-21,Total,Number of members that ceased subscribing during the year,Total,9783037
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Total,2342131
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,33
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Total,1505811
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,241392
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353697
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,2870
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,130405
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353697
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,241392
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Transgender,19
2020-21,Total,Number of New EPF Subscribers during the year,Transgender,139
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,372264
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Female,372978
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Female,297393
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Female,464700
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Female,570595
2020-21,Total,Number of members that ceased subscribing during the year,Female,2020542
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Total,2215865
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Female,23410
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Female,423709
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Female,473791
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Female,8338
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,42
2020-21,Total,Number of exited members who rejoined and resubscribed,Transgender,170
2020-21,Total,Number of exited members who rejoined and resubscribed,Total,8942514
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Total,2046702
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Total,2237100
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Female,23410
2020-21,Total,Number of exited members who rejoined and resubscribed,Transgender,170
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,42
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Total,2215865
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Total,1050990
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,13
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,37
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,27
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,31
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,33
2020-21,Total,Number of exited members who rejoined and resubscribed,Female,1473606
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Female,372978
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Total,2229908
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Total,886223
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Total,7071
2020-21,Total,Number of members that ceased subscribing during the year,Female,2020542
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Female,570595
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Female,464700
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Female,297393
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Female,474153
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Female,205363
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,2870
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,130405
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353697
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,241392
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,372264
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Total,18717
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,1
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Female,190842
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Female,23410
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Female,473791
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Female,190842
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Female,382232
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Female,451032
2020-21,Total,Number of New EPF Subscribers during the year,Female,1945016
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Female,23410
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Female,423709
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Female,473791
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Female,190842
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Female,382232
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Female,451032
2020-21,Total,Number of New EPF Subscribers during the year,Female,1945016
2020-21,Total,Number of New EPF Subscribers during the year,Female,1945016
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Female,451032
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Female,382232
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Female,423709
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,31
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,17
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,37
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,18
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,33
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Transgender,33
2020-21,Total,Number of members that ceased subscribing during the year,Transgender,141
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Total,18717
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Total,1050990
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Transgender,19
2020-21,Total,Number of New EPF Subscribers during the year,Transgender,139
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Total,7071
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Total,886223
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Total,1535510
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,33
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,29
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,49
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Female,372978
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,372264
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,241392
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Female,382232
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,29
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,49
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,17
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Female,23410
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Female,423709
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Female,473791
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Female,190842
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Female,451032
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,33
2020-21,Total,Number of New EPF Subscribers during the year,Female,1945016
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,2870
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,29
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,33
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,42
2020-21,Total,Number of exited members who rejoined and resubscribed,Transgender,170
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,33
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Female,23410
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Female,423709
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Female,473791
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Female,205363
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Female,474153
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Female,297393
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,37
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,27
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,31
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Transgender,33
2020-21,Total,Number of members that ceased subscribing during the year,Transgender,141
2020-21,Total,Number of exited members who rejoined and resubscribed,Transgender,170
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,42
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Female,464700
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Female,570595
2020-21,Total,Number of members that ceased subscribing during the year,Female,2020542
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Female,382232
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Female,190842
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,130405
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353697
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Total,2090123
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Female,372978
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Female,464700
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Female,297393
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Female,474153
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Female,205363
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Female,8338
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Total,1050990
2020-21,Total,Number of exited members who rejoined and resubscribed,Transgender,170
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,42
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,33
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,29
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,372264
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,2870
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,17
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,49
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Female,570595
2020-21,Total,Number of exited members who rejoined and resubscribed,Female,1473606
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Total,908664
2020-21,Total,Number of exited members who rejoined and resubscribed,Female,1473606
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Total,1434322
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,241392
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,372264
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Female,372978
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Total,1723291
2020-21,Total,Number of members that ceased subscribing during the year,Female,2020542
2020-21,Total,Number of New EPF Subscribers during the year,Total,8548898
2020-21,Total,Number of exited members who rejoined and resubscribed,Female,1473606
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,130405
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,2870
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,130405
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353697
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,241392
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,372264
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Female,372978
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Female,8338
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Female,451032
2020-21,Total,Number of New EPF Subscribers during the year,Female,1945016
2020-21,Total,Number of New EPF Subscribers during the year,Transgender,139
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Total,2090123
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,2870
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Not Available,1
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,18
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,33
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Transgender,19
2020-21,Total,Number of New EPF Subscribers during the year,Transgender,139
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Female,190842
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Female,473791
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Total,83347
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Total,7071
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Total,886223
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Female,423709
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,29
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Total,1434322
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Total,908664
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Total,908664
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Total,2229908
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Total,1434322
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,241392
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,372264
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Female,372978
2020-21,Total,Number of exited members who rejoined and resubscribed,Female,1473606
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Total,83347
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,1
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,31
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,37
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,18
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,33
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Total,2309151
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Total,2090123
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Transgender,19
2020-21,Total,Number of New EPF Subscribers during the year,Total,8548898
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Total,1723291
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Total,1723291
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Total,1535510
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,13
2020-21,Total,Number of exited members who rejoined and resubscribed,Total,8942514
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Female,382232
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Female,190842
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Female,473791
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Female,423709
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Female,23410
2020-21,Total,Number of exited members who rejoined and resubscribed,Female,1473606
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Female,372978
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,372264
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,241392
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353697
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,130405
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,2870
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,49
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353697
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Total,2309151
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Total,2046702
2020-21,Total,Number of New EPF Subscribers during the year,Total,8548898
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Total,83347
2020-21,Total,Number of New EPF Subscribers during the year,Female,1945016
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Female,23410
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Female,372978
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,372264
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,241392
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Female,451032
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Total,2237100
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Female,23410
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Female,423709
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Female,473791
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Female,190842
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Female,382232
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Female,451032
2020-21,Total,Number of New EPF Subscribers during the year,Female,1945016
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Total,2309151
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,29
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Total,2309151
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353697
2020-21,Total,Number of exited members who rejoined and resubscribed,Total,8942514
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Female,464700
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Female,570595
2020-21,Total,Number of members that ceased subscribing during the year,Female,2020542
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,37
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,18
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,33
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Transgender,19
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Total,2046702
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Total,83347
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Total,2237100
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Total,1535510
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Total,2229908
2020-21,Total,Number of New EPF Subscribers during the year,Transgender,139
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Female,297393
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Female,464700
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Female,570595
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Female,297393
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Female,474153
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Female,205363
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Female,8338
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Transgender,33
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Female,8338
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Female,205363
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Female,474153
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Female,23410
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Female,8338
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Female,205363
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Female,474153
2020-21,Total,Number of exited members who rejoined and resubscribed,Female,1473606
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Female,372978
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,372264
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,241392
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353697
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,130405
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,2870
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Female,423709
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Female,473791
2020-21,Total,Number of members that ceased subscribing during the year,Female,2020542
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,13
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,17
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Female,382232
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Total,1723291
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,2870
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,130405
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353697
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,241392
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,372264
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Female,372978
2020-21,Total,Number of exited members who rejoined and resubscribed,Female,1473606
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Total,886223
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Total,7071
2020-21,Total,Number of New EPF Subscribers during the year,Total,8548898
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Female,451032
2020-21,Total,Number of New EPF Subscribers during the year,Female,1945016
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,18
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Female,190842
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,37
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Female,297393
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,2870
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,130405
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,1
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,31
2020-21,Total,Number of members that ceased subscribing during the year,Transgender,141
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Transgender,33
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,31
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,27
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,37
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,13
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Total,2090123
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Total,908664
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Total,1434322
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,31
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,27
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,37
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,37
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,27
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,37
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,13
2020-21,Total,Number of New EPF Subscribers during the year,Female,1945016
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Female,451032
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Female,382232
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Female,190842
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Female,473791
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Female,423709
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Female,23410
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,241392
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353697
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,130405
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,2870
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Total,18717
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,31
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,31
2020-21,Total,Number of members that ceased subscribing during the year,Total,9783037
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,1
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,49
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,42
2020-21,Total,Number of exited members who rejoined and resubscribed,Transgender,170
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,49
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,17
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0
2020-21,Total,Number of members that ceased subscribing during the year,Transgender,141
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Total,83347
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Total,2309151
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Total,2090123
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Transgender,33
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,17
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Total,83347
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Total,2309151
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Total,2649523
2020-21,Total,Number of exited members who rejoined and resubscribed,Female,1473606
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Female,8338
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Total,908664
2020-21,Total,Number of New EPF Subscribers during the year,Total,8548898
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Total,1434322
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353697
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,130405
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,2870
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Total,1723291
2020-21,Total,Number of New EPF Subscribers during the year,Total,8548898
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,29
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,33
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,42
2020-21,Total,Number of exited members who rejoined and resubscribed,Transgender,170
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Female,464700
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Female,297393
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Female,474153
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Female,205363
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Total,1723291
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Total,2090123
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Female,372978
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,31
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,372264
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Female,23410
